ctr : 144  | I: fff4 | Q: fecd
ctr : 145  | I: ffb9 | Q: fed0
ctr : 146  | I: ffbb | Q: febd
ctr : 147  | I: ff87 | Q: fef5
ctr : 148  | I: ff73 | Q: feda
ctr : 149  | I: ff66 | Q: fee7
ctr : 150  | I: ff5a | Q: ff02
ctr : 151  | I: ff3c | Q: ff20
ctr : 152  | I: fefb | Q: ff2d
ctr : 153  | I: fed7 | Q: ff6c
ctr : 154  | I: fee2 | Q: ff71
ctr : 155  | I: fee5 | Q: ff60
ctr : 156  | I: fed8 | Q: ffb4
ctr : 157  | I: fee3 | Q: ffc4
ctr : 158  | I: fee0 | Q: ffb0
ctr : 159  | I: fecf | Q: ffec
ctr : 160  | I: fec7 | Q: 000c
ctr : 161  | I: fed1 | Q: 004a
ctr : 162  | I: fecc | Q: 006b
ctr : 163  | I: fef1 | Q: 007a
ctr : 164  | I: fedc | Q: 0080
ctr : 165  | I: ff0d | Q: 00a6
ctr : 166  | I: ff12 | Q: 00d9
ctr : 167  | I: ff47 | Q: 00ff
ctr : 168  | I: ff46 | Q: 00e1
ctr : 169  | I: ff48 | Q: 010a
ctr : 170  | I: ff5f | Q: 0122
ctr : 171  | I: ff91 | Q: 013f
ctr : 172  | I: ff98 | Q: 014e
ctr : 173  | I: ffea | Q: 012a
ctr : 174  | I: fff6 | Q: 013e
ctr : 175  | I: 0005 | Q: 0155
ctr : 176  | I: 003c | Q: 013e
ctr : 177  | I: 003e | Q: 0131
ctr : 178  | I: 008e | Q: 0105
ctr : 179  | I: 0082 | Q: 010f
ctr : 180  | I: 00b8 | Q: 00fa
ctr : 181  | I: 00ad | Q: 00b9
ctr : 182  | I: 00fa | Q: 00b9
ctr : 183  | I: 00f2 | Q: 00ba
ctr : 184  | I: 00f0 | Q: 009c
ctr : 185  | I: 0121 | Q: 0091
ctr : 186  | I: 0100 | Q: 005e
ctr : 187  | I: 0112 | Q: 0038
ctr : 188  | I: 00f6 | Q: 0015
ctr : 189  | I: 0115 | Q: 0024
ctr : 190  | I: 0115 | Q: fff2
ctr : 191  | I: 0118 | Q: ffda
ctr : 192  | I: 012a | Q: ffbb
ctr : 193  | I: 00d0 | Q: ffa7
ctr : 194  | I: 00e0 | Q: ff5a
ctr : 195  | I: 00de | Q: ff84
ctr : 196  | I: 009c | Q: ff63
ctr : 197  | I: 00b9 | Q: ff4c
ctr : 198  | I: 0091 | Q: ff50
ctr : 199  | I: 0077 | Q: ff2b
ctr : 200  | I: 0096 | Q: ff4e
ctr : 201  | I: 0062 | Q: ff47
ctr : 202  | I: 0052 | Q: ff51
ctr : 203  | I: 003c | Q: ff16
ctr : 204  | I: 0029 | Q: ff3b
ctr : 205  | I: 002e | Q: ff04
ctr : 206  | I: 001e | Q: ff3b
ctr : 207  | I: 0013 | Q: ff3c
ctr : 208  | I: 0019 | Q: ff40
ctr : 209  | I: ffc6 | Q: ff40
ctr : 210  | I: ffc8 | Q: ff43
ctr : 211  | I: ffb9 | Q: ff2d
ctr : 212  | I: ff83 | Q: ff42
ctr : 213  | I: ffb2 | Q: ff3b
ctr : 214  | I: ff87 | Q: ff55
ctr : 215  | I: ff8b | Q: ff49
ctr : 216  | I: ff62 | Q: ff48
ctr : 217  | I: ff71 | Q: ff56
ctr : 218  | I: ff34 | Q: ff3b
ctr : 219  | I: ff65 | Q: ff71
ctr : 220  | I: ff55 | Q: ff6f
ctr : 221  | I: ff2c | Q: ff9e
ctr : 222  | I: ff56 | Q: ffaa
ctr : 223  | I: ff1f | Q: ffc4
ctr : 224  | I: ff1a | Q: ffa9
ctr : 225  | I: ff10 | Q: fff9
ctr : 226  | I: fefd | Q: fff2
ctr : 227  | I: ff07 | Q: 0003
ctr : 228  | I: ff08 | Q: 0015
ctr : 229  | I: ff09 | Q: 0015
ctr : 230  | I: ff05 | Q: 003f
ctr : 231  | I: ff18 | Q: 0086
ctr : 232  | I: ff1f | Q: 0087
ctr : 233  | I: ff10 | Q: 009e
ctr : 234  | I: ff10 | Q: 00cb
ctr : 235  | I: ff4e | Q: 00e9
ctr : 236  | I: ff40 | Q: 0101
ctr : 237  | I: ff7d | Q: 0103
ctr : 238  | I: ff77 | Q: 012c
ctr : 239  | I: ffa8 | Q: 013c
ctr : 240  | I: ffb9 | Q: 0122
ctr : 241  | I: fff2 | Q: 0127
ctr : 242  | I: ffe9 | Q: 0128
ctr : 243  | I: 0031 | Q: 015b
ctr : 244  | I: 004c | Q: 0147
ctr : 245  | I: 0089 | Q: 012c
ctr : 246  | I: 00b2 | Q: 012e
ctr : 247  | I: 00d6 | Q: 0116
ctr : 248  | I: 00dd | Q: 00eb
ctr : 249  | I: 00eb | Q: 00e0
ctr : 250  | I: 00df | Q: 00cf
ctr : 251  | I: 0002 | Q: fff2
ctr : 252  | I: 0013 | Q: ffec
ctr : 253  | I: 000e | Q: fffd
ctr : 254  | I: fff8 | Q: ffea
ctr : 255  | I: fff7 | Q: ffe6
ctr : 256  | I: 000b | Q: 0006
ctr : 257  | I: 0015 | Q: 0017
ctr : 258  | I: fff2 | Q: 0012
ctr : 259  | I: 0003 | Q: 000d
ctr : 260  | I: ffe5 | Q: fff4
ctr : 261  | I: fff2 | Q: 0017
ctr : 262  | I: 00df | Q: ff30
ctr : 263  | I: 00e2 | Q: ff23
ctr : 264  | I: ff31 | Q: 0100
ctr : 265  | I: 00b0 | Q: ff13
ctr : 266  | I: 0085 | Q: fee3
ctr : 267  | I: 006e | Q: fee9
ctr : 268  | I: 0048 | Q: feae
ctr : 269  | I: 002a | Q: fec7
ctr : 270  | I: 0002 | Q: feac
ctr : 271  | I: ffde | Q: fede
ctr : 272  | I: ffe8 | Q: feb3
ctr : 273  | I: ffd2 | Q: fed1
ctr : 274  | I: ff7f | Q: fedd
ctr : 275  | I: ff8a | Q: ff01
ctr : 276  | I: ff88 | Q: feea
ctr : 277  | I: ff53 | Q: ff11
ctr : 278  | I: ff23 | Q: ff0d
ctr : 279  | I: ff2c | Q: ff1d
